text,label
20 yasinda 50 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 51 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 52 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 53 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 54 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 55 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 56 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 57 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 58 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 59 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 60 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 61 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 62 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 63 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 64 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 65 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 66 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 67 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 68 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 69 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 70 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 71 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 72 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 73 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 74 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 75 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 76 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 77 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 78 kilo  kadin  egzersiz gecmisi var ,Label_0
20 yasinda 79 kilo  kadin  egzersiz gecmisi var ,Label_0
